EXPLAIN
TAG	PWR800_CV
TITLE	LABEL	Test_Gamry_CV	Test &Identifier
DATE	LABEL	10/21/2025	Date
TIME	LABEL	12:54:10	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600	Potentiostat
WORKING	SELECTOR	0	&Working Connection
VINIT	POTEN	0.00000E+000	T	Initial &E (V)
VLIMIT1	POTEN	3.00000E+000	F	Scan Limit &1 (V)
VLIMIT2	POTEN	0.00000E+000	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	T	Final &E (V)
SCANRATE	QUANT	4.99999E+000	&Scan Rate (mV/s)
STEPSIZE	QUANT	1.00000E+000	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	3.00000E+002	&Max Current (mA)
IRCOMP	TOGGLE	F	IR Measure
SEQUENCER	TOGGLE	TRUE	Run as Sequence
DELAY	TWOPARAM	T	1.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
OCVCURVE	TABLE	39
	Pt	T	Vf	Vm	Ach	Over
	#	s	V vs. Ref.	V	V	bits
	0	0.258333	1.92480E-002	1.92480E-002	-2.00276E-004	...........
	1	0.516667	1.92484E-002	1.92697E-002	-2.05676E-004	...........
	2	0.775	1.92510E-002	1.92919E-002	-2.01643E-004	...........
	3	1.03333	1.92584E-002	1.93127E-002	-2.06776E-004	...........
	4	1.29167	1.92717E-002	1.93322E-002	-2.07743E-004	...........
	5	1.55	1.92897E-002	1.93545E-002	-1.97076E-004	...........
	6	1.80833	1.93100E-002	1.93771E-002	-2.03843E-004	...........
	7	2.06667	1.93313E-002	1.93984E-002	-2.12743E-004	...........
	8	2.325	1.93530E-002	1.94217E-002	-2.04010E-004	...........
	9	2.58333	1.93751E-002	1.94460E-002	-2.09910E-004	...........
	10	2.84167	1.93975E-002	1.94651E-002	-2.03643E-004	...........
	11	3.1	1.94199E-002	1.94824E-002	-2.05376E-004	...........
	12	3.35833	1.94416E-002	1.95010E-002	-2.04376E-004	...........
	13	3.61667	1.94621E-002	1.95251E-002	-2.07510E-004	...........
	14	3.875	1.94819E-002	1.95442E-002	-2.05443E-004	...........
	15	4.13333	1.95019E-002	1.95668E-002	-2.04010E-004	...........
	16	4.39167	1.95224E-002	1.95865E-002	-2.05976E-004	...........
	17	4.65	1.95433E-002	1.96114E-002	-2.02343E-004	...........
	18	4.90833	1.95647E-002	1.96323E-002	-2.04710E-004	...........
	19	5.16667	1.95864E-002	1.96510E-002	-2.14376E-004	...........
	20	5.425	1.96080E-002	1.96680E-002	-2.32776E-004	...........
	21	5.68333	1.96289E-002	1.96916E-002	-2.02743E-004	...........
	22	5.94167	1.96491E-002	1.97124E-002	-2.03010E-004	...........
	23	6.2	1.96691E-002	1.97289E-002	-2.08576E-004	...........
	24	6.45833	1.96891E-002	1.97481E-002	-2.11310E-004	...........
	25	6.71667	1.97088E-002	1.97662E-002	-2.06576E-004	...........
	26	6.975	1.97280E-002	1.97899E-002	-2.01176E-004	...........
	27	7.23333	1.97471E-002	1.98086E-002	-2.03810E-004	...........
	28	7.49167	1.97670E-002	1.98399E-002	-2.03210E-004	...........
	29	7.75	1.97881E-002	1.98560E-002	-2.05476E-004	...........
	30	8.00833	1.98104E-002	1.98754E-002	-2.08810E-004	...........
	31	8.26667	1.98327E-002	1.98979E-002	-2.06243E-004	...........
	32	8.525	1.98542E-002	1.99127E-002	-2.09243E-004	...........
	33	8.78333	1.98747E-002	1.99385E-002	-2.16843E-004	...........
	34	9.04167	1.98946E-002	1.99583E-002	-2.12009E-004	...........
	35	9.3	1.99149E-002	1.99845E-002	-2.01943E-004	...........
	36	9.5583	1.99360E-002	1.99944E-002	-2.05943E-004	...........
	37	9.8167	1.99572E-002	2.00232E-002	-2.09443E-004	...........
	38	10.075	1.99778E-002	2.00334E-002	-2.03476E-004	...........
EOC	QUANT	0.0199778	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-07084	Pstat Section
PSTATSERIALNO	LABEL	07084	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	3	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	3	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	11	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	12	Cable ID
DCCALDATE	LABEL	12/4/2020	DC Calibration Date
ACCALDATE	LABEL	12/4/2020	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.2	2.17433E-002	4.55772E-002	0.00000E+000	2.00001E-002	-3.12096E-004	11	...........
	1	0.4	2.25131E-002	5.29869E-002	0.00000E+000	2.10001E-002	-3.11204E-004	11	...........
	2	0.6	2.34903E-002	6.34359E-002	0.00000E+000	2.20002E-002	-2.97603E-004	11	...........
	3	0.8	2.44567E-002	7.14265E-002	0.00000E+000	2.30001E-002	-2.94744E-004	11	...........
	4	1	2.54830E-002	7.73432E-002	0.00000E+000	2.40002E-002	-3.10770E-004	11	...........
	5	1.2	2.64707E-002	8.17662E-002	0.00000E+000	2.50002E-002	-3.09929E-004	11	...........
	6	1.4	2.74729E-002	8.52859E-002	0.00000E+000	2.60001E-002	-2.98095E-004	11	...........
	7	1.6	2.84528E-002	8.79794E-002	0.00000E+000	2.70002E-002	-2.96169E-004	11	...........
	8	1.8	2.94386E-002	8.98849E-002	0.00000E+000	2.80001E-002	-3.08929E-004	11	...........
	9	2	3.04382E-002	9.15822E-002	0.00000E+000	2.90002E-002	-3.11204E-004	11	...........
	10	2.2	3.14351E-002	9.30149E-002	0.00000E+000	3.00002E-002	-2.97436E-004	11	...........
	11	2.4	3.24320E-002	9.40409E-002	0.00000E+000	3.10001E-002	-2.89752E-004	11	...........
	12	2.6	3.34390E-002	9.48024E-002	0.00000E+000	3.20002E-002	-3.06537E-004	11	...........
	13	2.8	3.44358E-002	9.54732E-002	0.00000E+000	3.30001E-002	-3.08762E-004	11	...........
	14	3	3.54321E-002	9.59823E-002	0.00000E+000	3.40002E-002	-2.98528E-004	11	...........
	15	3.2	3.64258E-002	9.65359E-002	0.00000E+000	3.50002E-002	-2.93853E-004	11	...........
	16	3.4	3.74241E-002	9.68518E-002	0.00000E+000	3.60001E-002	-3.14962E-004	11	...........
	17	3.6	3.84312E-002	9.72057E-002	0.00000E+000	3.70002E-002	-3.11712E-004	11	...........
	18	3.8	3.94272E-002	9.73999E-002	0.00000E+000	3.80001E-002	-3.20671E-004	11	...........
	19	4	4.04200E-002	9.76398E-002	0.00000E+000	3.90002E-002	-2.97003E-004	11	...........
	20	4.2	4.14229E-002	9.78300E-002	0.00000E+000	4.00002E-002	-3.09379E-004	11	...........
	21	4.4	4.24080E-002	9.80113E-002	0.00000E+000	4.10001E-002	-3.12971E-004	11	...........
	22	4.6	4.34141E-002	9.83191E-002	0.00000E+000	4.20002E-002	-3.00403E-004	11	...........
	23	4.8	4.44049E-002	9.83781E-002	0.00000E+000	4.30001E-002	-2.94903E-004	11	...........
	24	5	4.53804E-002	9.84070E-002	0.00000E+000	4.40001E-002	-3.08795E-004	11	...........
	25	5.2	4.63975E-002	9.86061E-002	0.00000E+000	4.50002E-002	-3.13279E-004	11	...........
	26	5.4	4.73863E-002	9.86903E-002	0.00000E+000	4.60001E-002	-3.03312E-004	11	...........
	27	5.6	4.83858E-002	9.87660E-002	0.00000E+000	4.70002E-002	-2.95086E-004	11	...........
	28	5.8	4.93804E-002	9.88395E-002	0.00000E+000	4.80001E-002	-3.07245E-004	11	...........
	29	6	5.03785E-002	9.89508E-002	0.00000E+000	4.90001E-002	-3.10529E-004	11	...........
	30	6.2	5.14036E-002	9.90824E-002	0.00000E+000	5.00002E-002	-3.01728E-004	11	...........
	31	6.4	5.24154E-002	9.91307E-002	0.00000E+000	5.10001E-002	-2.94269E-004	11	...........
	32	6.6	5.34002E-002	9.91009E-002	0.00000E+000	5.20002E-002	-3.07420E-004	11	...........
	33	6.8	5.44106E-002	9.92131E-002	0.00000E+000	5.30002E-002	-3.12729E-004	11	...........
	34	7	5.53998E-002	9.92040E-002	0.00000E+000	5.40001E-002	-2.99178E-004	11	...........
	35	7.2	5.63962E-002	9.93461E-002	0.00000E+000	5.50002E-002	-2.89986E-004	11	...........
	36	7.4	5.73977E-002	9.93866E-002	0.00000E+000	5.60001E-002	-3.07154E-004	11	...........
	37	7.6	5.83936E-002	9.93640E-002	0.00000E+000	5.70002E-002	-3.10487E-004	11	...........
	38	7.8	5.93914E-002	9.95198E-002	0.00000E+000	5.80002E-002	-3.02395E-004	11	...........
	39	8	6.03897E-002	9.95997E-002	0.00000E+000	5.90001E-002	-2.92944E-004	11	...........
	40	8.2	6.13803E-002	9.95672E-002	0.00000E+000	6.00002E-002	-3.06695E-004	11	...........
	41	8.4	6.23903E-002	9.97432E-002	0.00000E+000	6.10001E-002	-3.10712E-004	11	...........
	42	8.6	6.33816E-002	9.97171E-002	0.00000E+000	6.20002E-002	-3.11696E-004	11	...........
	43	8.8	6.43854E-002	9.98429E-002	0.00000E+000	6.30002E-002	-3.13279E-004	11	...........
	44	9	6.53924E-002	9.98661E-002	0.00000E+000	6.40001E-002	-3.15588E-004	11	...........
	45	9.2	6.63742E-002	9.98317E-002	0.00000E+000	6.50002E-002	-3.16029E-004	11	...........
	46	9.4	6.73662E-002	9.98341E-002	0.00000E+000	6.60001E-002	-3.04387E-004	11	...........
	47	9.6	6.83661E-002	1.00032E-001	0.00000E+000	6.70002E-002	-2.95186E-004	11	...........
	48	9.8	6.93337E-002	9.99643E-002	0.00000E+000	6.80002E-002	-3.02037E-004	11	...........
	49	10	7.03656E-002	1.00144E-001	0.00000E+000	6.90001E-002	-3.11296E-004	11	...........
	50	10.2	7.13504E-002	1.00074E-001	0.00000E+000	7.00002E-002	-3.03778E-004	11	...........
	51	10.4	7.23552E-002	1.00069E-001	0.00000E+000	7.10001E-002	-2.95203E-004	11	...........
	52	10.6	7.33489E-002	1.00083E-001	0.00000E+000	7.20001E-002	-3.06162E-004	11	...........
	53	10.8	7.43425E-002	1.00156E-001	0.00000E+000	7.30002E-002	-3.13021E-004	11	...........
