Rec#,Cyc#,Step,Test (Min),Step (Min),Amp-hr,Watt-hr,Amps,Volts,State,ES,DPt Time
1,0,1,0,0,0,0,0,0.00907912,R,0,12:34:34
2,0,1,0.0167,0.0167,0,0,0,0.00999466,R,1,12:34:35
3,0,1,0.0333,0.0333,0,0,0,0.01014725,R,1,12:34:36
4,0,1,0.05,0.05,0,0,0,0.01045243,R,1,12:34:37
5,0,1,0.0667,0.0667,0,0,0,0.01029984,R,1,12:34:38
6,0,1,0.0833,0.0833,0,0,0,0.01029984,R,1,12:34:39
7,0,1,0.1,0.1,0,0,0,0.01045243,R,1,12:34:40
8,0,1,0.1167,0.1167,0,0,0,0.01045243,R,1,12:34:41
9,0,1,0.1333,0.1333,0,0,0,0.01060502,R,1,12:34:42
10,0,1,0.15,0.15,0,0,0,0.01075761,R,1,12:34:43
11,0,1,0.1667,0.1667,0,0,0,0.01075761,R,129,12:34:44
12,1,4,0.1675,0.0008,8E-10,0,0.00015,0.01106279,C,0,12:34:44
13,1,4,0.1758,0.0092,2.92874E-05,4.7132E-06,1.04150454,0.19218738,C,5,12:34:45
14,1,4,0.1922,0.0255,0.000312808,6.74631E-05,1.041428244,0.24696727,C,5,12:34:46
15,1,4,0.2092,0.0425,0.000607893,0.000148625,1.041351949,0.30098421,C,5,12:34:47
16,1,4,0.2263,0.0597,0.000905869,0.000246779,1.041351949,0.35530632,C,5,12:34:48
17,1,4,0.2437,0.077,0.001206741,0.00036219,1.04150454,0.40978103,C,5,12:34:49
18,1,4,0.261,0.0943,0.001507612,0.000493911,1.041275654,0.46395056,C,5,12:34:50
19,1,4,0.2787,0.112,0.001814269,0.000644802,1.041428244,0.51827268,C,5,12:34:51
20,1,4,0.2963,0.1297,0.002120924,0.000812382,1.041580835,0.5725948,C,5,12:34:52
21,1,4,0.3142,0.1475,0.002430475,0.000998326,1.04150454,0.62676432,C,5,12:34:53
22,1,4,0.3322,0.1655,0.002742918,0.001202988,1.041351949,0.68123903,C,5,12:34:54
